,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
PARP12,5.0258888884298505e-106,4.5204802693850204e-73,8.45576580538422e-223,5.743197814269e-188,2.1635258870920601e-110,6.09388193105618e-124,4.04015634828337e-151,1.21551042467382e-90
ARHGEF3,1.16495687623306e-105,2.06301887788281e-80,3.49827224189733e-71,3.70318934511625e-85,5.96541620727319e-62,2.00334545530343e-123,1.6264128240146897e-92,5.380352089825209e-92
TNFSF13B,5.2408741260604995e-104,2.6247261259239703e-58,3.5781068396169397e-124,1.33727711881538e-123,2.76107052434111e-110,4.95481240480495e-96,3.49323483851511e-123,9.32181289266531e-85
DDX60,5.72111729408858e-103,2.05810131447696e-102,5.25158184353819e-170,3.2621321041552e-183,2.63984901613408e-62,1.46798448969293e-118,8.194877050261139e-124,5.3076051143660194e-92
MASTL,9.49276612950205e-99,9.429419252903829e-92,1.56381368731099e-81,2.20356060603959e-79,4.10705182958501e-88,1.11927317617376e-99,8.46199450262334e-96,1.98412518881324e-50
MX1,5.30480446105818e-97,5.31304023807304e-106,8.18084558847607e-136,2.9102735620040404e-112,2.80817940520915e-76,1.0773468880028401e-91,2.02449251904293e-96,5.45623468488098e-81
FBXO6,7.9645717399715e-97,2.1316870214680297e-40,4.00050457975408e-96,2.6424695995387703e-97,4.3500341558237697e-101,4.07508429247799e-91,2.69081145861321e-104,4.97360846184294e-73
NRIR,8.55842423968704e-96,9.10205642578377e-75,7.39873099357647e-53,3.49560144912212e-36,2.0418119942111598e-79,2.48781838876642e-69,3.27950180062001e-98,3.91735440011759e-79
PARP14,2.73453599424251e-95,2.6825543400768597e-42,6.978868347384401e-92,3.95158838722399e-89,1.84892052605971e-92,4.2005567663039694e-114,1.75312954025924e-90,3.91735440011759e-79
XRN1,1.6117180483565598e-94,1.99615163955008e-49,9.128014365261389e-116,2.95883014548531e-126,4.11004146286708e-116,6.05863056935783e-97,2.78452366589069e-99,2.3662394848047e-78
KIAA0040,3.09782103161752e-94,3.64302695271436e-74,8.546832722383891e-98,2.41584065217914e-93,9.34856551053165e-90,4.31622557172138e-79,2.14484414318222e-67,1.98377394224615e-80
CHROMR,1.77367684230926e-93,2.3194859541851297e-78,4.57794747917004e-58,3.5167972679279797e-70,7.99387483983611e-102,1.00371743363167e-99,7.296641998394061e-106,1.11293923922722e-71
DYNLT1,5.37090787082823e-92,1.79091771297235e-55,2.75197775973287e-64,6.5515427199865e-95,1.0924203624526101e-117,6.45932127594119e-75,2.26959313552155e-93,1.15287673286775e-68
SP110,5.7126654971168495e-92,1.33724471232093e-102,5.38653491492989e-106,4.94550429339122e-94,6.60390864217997e-62,2.92289305674464e-77,1.28840176783518e-84,3.0042544940820997e-93
EIF2AK2,2.7510985477839904e-91,5.74099291156098e-80,5.42726413069832e-118,4.36098731586845e-89,1.0651008929356e-54,2.1766488057874e-86,2.52864189926746e-84,3.36527346428486e-70
LGALS17A,4.58262573602501e-90,1.1530451705858e-39,1.1119426424586399e-18,5.80748274169668e-37,3.5337735351494297e-130,6.14144383313987e-39,1.1971352510689899e-42,2.74061542207096e-19
ZNFX1,4.08834603552981e-88,1.82119657060645e-64,1.17669964932109e-93,4.6463593295248804e-117,2.77661859282867e-107,4.10275348838939e-73,7.09117778769038e-67,8.21940589801867e-69
LAG3,1.24800856688502e-87,2.59347995157826e-66,6.96801600046349e-59,2.02874853955786e-111,3.45420902876283e-80,6.22454566608461e-63,3.53179497366527e-84,5.45310949025701e-71
MYD88,2.75295237772895e-87,2.89938516991268e-94,9.52155720548165e-88,4.25593354632681e-123,9.951793287542439e-100,4.6748066073844404e-105,1.26776429754013e-89,1.21042326416474e-66
GBP3,1.51896924555002e-86,6.885658694910631e-54,2.60239184492508e-74,1.21457710011246e-86,8.80772402895206e-122,1.38243939689868e-68,1.3335890960171301e-58,4.91236055322239e-51
BCL2L14,3.34241377848378e-86,1.76543508471048e-82,3.74165263434818e-88,3.3183855347805503e-105,8.232245906979819e-62,2.01022945305156e-75,2.03790238255811e-84,3.20839613190509e-68
DHX58,7.07843693957633e-85,1.70044545508317e-87,2.99123640197988e-98,5.30927999451499e-108,6.909665525883099e-78,3.83146145479016e-76,2.8933147925095e-109,2.23654378809274e-69
ISG15,1.52594307970971e-84,1.8937095269227002e-106,1.60069566118455e-179,8.03232794889131e-203,7.1355474372761e-67,3.81005248872869e-106,3.33219974332845e-141,3.56799329530811e-89
IL16,3.81355305126197e-84,6.659591194576861e-63,9.537452759814671e-58,1.13119655106656e-126,1.2238056160275e-94,1.4647674813392899e-92,3.33861908037637e-90,6.78117548473469e-56
