,ChenChao_RNA,Dave_RNA,Eric_RNA,Ethan_RNA,Khaondo_RNA,Niyilolawa_RNA,Pedro_RNA,Srivathani_RNA
CASTOR1,7.62093168203028e-05,0.403078752889833,0.0495851525958724,0.0544608383598717,0.0210106264381127,0.0008272261048482,0.236742033394034,0.262971581274987
HDAC7,7.68528728625822e-05,6.8183410196024e-06,0.0010185023119943,0.0238684139573575,0.80516843056864,3.52808014048015e-08,0.0091598627598889,2.39102285307376e-05
LOC105371632,7.75925062212366e-05,0.0362238494276659,0.713405325804333,0.154061948934659,0.0001311342721939,0.0093311393209693,0.0008305109786866,1.17005495281533e-05
EGR2,7.75925062212366e-05,0.135365156409844,0.0034348008024295,0.0002199402315153,1.34666056387369e-07,7.79549138039671e-09,2.40493721958038e-08,1.98930205951855e-05
LINC01993,7.77462255511764e-05,1.5845242235778202e-09,0.62639188305532,0.0561715738838638,4.60129772786357e-06,3.28412761360692e-06,4.5717090301877203e-10,1.126683458161e-07
TMEM250,7.80844063647335e-05,3.22064585958647e-12,2.46265488885342e-07,7.45974855951871e-06,0.0007383866884936,5.28617709288808e-05,2.27734055591128e-05,0.0018034956899029
AP4B1-AS1,7.83365672065952e-05,0.490495721697617,0.952292873582914,0.567457815497384,0.408838778871264,2.22810888657804e-05,1.64715211301644e-06,0.0197639803496269
PPARD,7.88255854518514e-05,0.112131960390689,2.57937670230887e-06,4.96706418650359e-06,0.0103176055610202,0.0001664807142933,4.86549905878205e-05,0.000673448856466
RNF19B,7.90355233550611e-05,1.66260672444261e-06,0.0001805416839901,1.00782355777221e-10,7.21680409946991e-08,7.64652383372403e-07,3.38188589938072e-05,0.0020935631296193
PLK3,7.96139199134386e-05,0.184837039572386,0.000161994976146,0.0002011435095193,0.0028226922164309,5.82545258256269e-08,0.0001078822470619,3.75901580728932e-05
AFG1L,7.97645045449241e-05,0.224955001149247,0.023830743653154,0.0001960675219028,0.0029759679984731,0.0015619356398748,0.243126953591284,0.0412930457255888
SKA1,7.98100573260719e-05,1.6570230290518e-05,6.17752927625241e-07,3.56791905002668e-05,7.00420104403994e-05,5.58908124239659e-07,0.0007546830303522,0.0020641059013961
IDH3A,8.01098160844708e-05,0.0782397479679275,1.62971117277912e-07,1.77263405735793e-07,0.00019515184589,3.24851499948782e-07,3.6457282882837e-06,0.0019303801803354
DAPK1,8.11869932988937e-05,1.44538181839254e-05,0.0270425450032159,3.87198044455105e-06,1.52193537016903e-05,0.0045682564847735,0.0220898509200616,0.0003942353392878
LINC00640,8.1473428732177e-05,0.288807826320276,0.0060192803183881,0.33443320651771,1.15498014376067e-08,0.0005595004483131,0.0005746753894453,0.0621541700304237
EHD3,8.1473428732177e-05,0.0180215736483153,0.0055392016251183,2.65160861070475e-10,0.203620861796281,1.63453783693057e-12,0.0001930812250321,0.549135496217998
RASSF3,8.1793297144204e-05,0.256168530678936,0.983432069310503,0.0009068942055249,0.0068108832899631,3.26117362201107e-06,0.757462290500503,0.0112626773200881
MGAT5,8.18617834091329e-05,0.118540170498579,2.77041045375584e-05,6.28199540045899e-07,8.74416925929977e-05,1.2244197958567e-06,2.49947620643555e-07,7.84100716889411e-06
ARHGEF17,8.20007520815787e-05,2.74099079723169e-05,5.551340026513581e-09,3.2981476026859103e-09,1.08110577501757e-05,1.59797734958737e-06,0.0108765154673412,2.85677142240583e-06
WDR12,8.40747214617333e-05,6.87348313949237e-05,0.0099568734053632,0.0048210145751849,6.13271109758495e-08,0.0026082666857709,0.0043081141136684,0.0014337672336261
LOC105369905,8.45224936425482e-05,0.0435833002874979,1.2896457237439701e-14,1.75945344334903e-16,9.60319728109577e-07,1.04913575334035e-06,8.21626643945037e-07,0.0248945356483434
ZCCHC10,8.47796215820485e-05,8.86204968581416e-05,1.72115521041219e-05,0.0001741829003446,3.46355037220259e-05,0.0002433390092726,0.000456292295429,0.0003555739005522
LINC02642,8.49622539246076e-05,8.14553974400792e-06,0.0333175923699407,0.24215192717292,0.0177976362490766,5.544767936756e-06,8.0554489299133e-05,0.0002622682770905
NRROS,8.49622539246076e-05,7.793188507742601e-10,0.0765721242682018,0.0003081365496731,8.7609611390517e-05,3.37696343850037e-06,0.005752707689384,0.432009854590577
DIRAS1,8.49753312407036e-05,0.742622276367614,0.120096980708169,0.0024096505050792,0.0130235425155009,0.0003529981917976,0.0115287064355391,0.0022767132234021
TET1,8.50362487959305e-05,0.503583675694698,0.0005506567973588,0.0140966259552692,0.0067451916163966,0.485162899842358,0.0006002346392751,0.0012305334612152
SOS1,8.50932043603513e-05,0.331633892856193,0.0094610503290224,0.22548400940909,0.0003797249719959,0.339398371095985,0.700190027505565,0.13100417260196
JADE3,8.54875167223351e-05,0.0001206445643004,0.096678836028776,0.387697989100162,0.0001929072704934,0.0011942519985296,0.0085870077243901,3.05592811360098e-05
GPR155,8.56263679292205e-05,0.814260413355612,0.123262211725591,0.0231860580397883,0.0011686075878232,0.0012324180496639,0.0758660016233008,0.1895182741758
ABCD2,8.56270408199701e-05,7.22068120235838e-05,0.0032548434815156,2.92017730560796e-06,4.59759052061621e-06,6.32985491382847e-08,1.64048276688101e-06,0.0013451231366773
ZCCHC24,8.64180069028378e-05,4.27851257202621e-20,0.777665640344746,0.335626933158154,0.0041146667151874,6.10723630049198e-42,0.0513662858883756,0.0069269870381354
LOC105372279,8.75406345257024e-05,0.105641333152748,0.091334450681366,0.277144810412276,0.0148514402349649,0.0855402718431133,0.0978269426807685,0.124248792297308
BORCS8-MEF2B,8.76013072875645e-05,0.333421747004728,0.011881019961776,0.117516893642644,7.77943522482206e-06,8.14342904307389e-05,0.0037436426355124,0.0829680448565674
OTUD1,8.86026601044089e-05,0.0008185688904639,0.0594917803731785,0.0007364857470875,8.54552683470966e-06,2.30143187188626e-05,0.0005808165876663,0.0001517346069062
MTF2,8.86098595730096e-05,0.958469208785036,0.0511575920444315,0.200205254006789,0.0002134459945209,0.0098735590442245,0.141631604391207,0.0068924210981275
HEG1,8.87142403087269e-05,0.0617153154290768,5.0880523890582896e-11,1.3026110453111e-15,2.08494936138347e-13,3.0273590395982494e-11,4.33706623810329e-12,0.0009408716262487
SLC39A14,8.90760862141209e-05,0.0001064124008573,0.0085341594416982,0.0024440581389438,1.14391004877718e-07,0.0117354488997147,0.0009576910805359,0.0040838798235555
FASLG,8.97078010449762e-05,5.8231463126677894e-18,1.41582726727202e-09,5.41611866862832e-13,0.0047876791635617,5.141857054531e-08,0.0005060560717795,0.008588146054543
MAZ,8.97772358672934e-05,2.71955144237601e-06,2.78560454576498e-07,0.0001607214663945,0.0008241911273609,0.0002227985076375,2.08100933221056e-05,0.0001064741231556
ZNF623,9.00224683892155e-05,0.0020712493973204,9.0508423519105e-05,2.99754060817171e-06,0.0203163744218656,1.72887527534763e-05,0.0189537039249906,7.55470810326705e-05
ZNF555,9.03108373475067e-05,0.084231700905176,0.0008780283243645,6.78637788195939e-05,0.0170008218858766,0.0023865340509353,0.0212910197698902,0.421139543527377
MPEG1,9.05144817736775e-05,1.14413909297068e-40,7.88822233228286e-16,6.203298864436859e-16,3.9863208636235e-10,1.99137503619775e-08,7.78762810583701e-06,0.0004653000311941
LOC124902011,9.07080638346016e-05,0.0013950891618711,0.0357225719795319,0.0002716664856846,6.4536435821855504e-09,0.0334167907806215,0.0108818286132544,1.82333153203457e-06
RGS22,9.07080638346016e-05,4.5682826140482695e-18,0.168767565431827,0.765637313793108,4.79110676465822e-08,0.407340635374102,0.0647558829749956,0.000436396310921
LDC1P,9.07494630747221e-05,0.149022315493472,0.833019396364098,0.443504763875062,0.0013191046536473,0.0097679098345769,0.0150186615206878,0.0009408716262487
SLC4A8,9.08335330836798e-05,0.682267138294769,0.272422570397119,0.791737548618984,3.41122706165651e-05,0.0088437744558994,0.500237901973585,0.0038983060048022
IRF2BPL,9.12688376760381e-05,4.77010169909316e-08,1.52288733618152e-07,3.9779861631218095e-12,7.69969910784122e-05,1.1767587263431e-11,3.55239987503399e-07,0.0015977915377872
RASSF4,9.2016519079289e-05,0.0010911357372905,0.0003097355913433,0.0001250861960578,0.0059351840947561,0.0001710060754136,0.0075128112106563,0.0191581936941192
PLCL1,9.2016519079289e-05,0.190155341307428,0.127009000705106,2.74576004311299e-06,1.19174378327018e-06,2.3749318768054e-07,0.016475327371011,0.451160570219949
LOC107986463,9.38530511687043e-05,0.395580064671947,0.0745644970547122,0.0038618023850652,0.003451011778565,0.0002202536805749,2.53017654208853e-06,0.0011604293778998
PRKCI,9.38630625232558e-05,0.0014638176574623,0.399327623332144,0.064021898749721,9.97646856798542e-07,0.0006323413474547,0.0464750947139245,0.0023355622428836
ARID3A,9.38967975490605e-05,3.81785060998263e-05,0.0397393500032685,0.0009372048017709,0.0212290619081096,0.0001736951301631,0.0019217540463148,0.0022788421539624
MIR378I,9.39322672592656e-05,0.0026112415180284,0.0090484839889125,2.10713571408731e-07,2.24896382427597e-07,1.91785092855214e-06,0.0003411714490779,0.0002622682770905
WIPI2,9.41121476096766e-05,0.0027376721505888,0.0027764261308753,0.0003130617891789,0.0012490009002743,0.0001360790907922,0.0003381436763213,0.0020903523875285
ATXN2,9.60448627013157e-05,0.0013483027069738,0.0312520353577367,0.0005877226052579,8.91710022696919e-05,0.0006182759860102,1.61734874246135e-05,0.0027621364687394
ZNF696,9.75085115499344e-05,2.95957142837197e-06,0.0011420776445089,0.0013422873213993,8.7609611390517e-05,7.84179542384858e-05,2.05889132185496e-05,0.0003323270312826
DUSP5,9.85878274627423e-05,0.0001945085007696,1.72935947032801e-08,9.011887178615311e-10,9.67709155993814e-05,6.04526699338774e-06,6.2872397015546e-06,0.0022563226158446
UTRN,0.0001003091073328,0.0317829712792366,0.000305552485365,0.0005201312915724,0.0067188263758994,0.0008065758887762,0.0135273794087499,0.0040127152234956
APTR,0.0001003193944584,0.0008869884267636,0.0021244870435134,0.0017236967803792,2.86123441164916e-05,0.0003086415370051,0.0011363853269179,0.0056775675937695
MIEF1,0.0001003613651679,0.0119647579868806,2.9728592784823e-05,3.8597526037053e-07,5.60248117251956e-08,6.43491405396511e-07,3.09700464716757e-06,0.0005066877425756
PDGFRB,0.0001016013907314,0.0010990766743721,0.134160761121036,0.104264803990455,0.321457198217651,0.329815458974613,0.0147064288987348,0.255742687718036
ARID1A,0.0001016013907314,1.52225541600824e-06,0.0036834788159943,0.0013777130824728,0.0213362862300984,0.0016961858701581,2.5403027918008e-06,0.0009815109007661
SCIMP,0.0001017210153491,0.112872273463567,0.0773624138420272,0.0033282914831515,2.03272735462757e-07,1.2445936029060901e-15,4.911553367812401e-16,6.05675103778164e-07
ADPRM,0.000102020948417,0.009429446091868,0.0086993842958366,0.0004502723990397,0.0001174288363414,0.0001790781190987,0.0518765721051704,0.0192125790762642
ADCY6,0.0001027442540097,0.0403505467969537,0.0550437607326541,0.105603761626147,0.353212579223883,0.0218277250825515,0.0358304088334328,0.0220892947039521
BRI3BP,0.0001028246741977,0.0006680242752588,0.0005301936149249,6.24217030057886e-06,9.532597541551061e-09,1.04569213517278e-05,0.0001556470748713,0.0020361621888571
SYS1,0.0001030654453052,8.3927671547465e-05,0.241799070120936,0.128269087816003,1.55931688307782e-06,0.0231408295192497,0.0005276506313676,0.0072713154155456
PIAS1,0.0001034152385851,0.0118194493869719,0.0231716785240877,0.0186505411701344,1.03158472253584e-06,0.0012512506449705,0.109245970664224,0.0287961667055996
ATP6V1A,0.0001039954578136,0.936788642538042,0.194121333406069,0.775615143422125,7.04746895771065e-07,0.0137843221352634,0.109890941672163,0.0246342456490073
KLHL21,0.0001053927018808,3.75980520881148e-05,9.66435477717659e-07,9.852851320484419e-11,0.0001326646506369,0.0003501325225048,0.0004075105066498,0.0023194813049725
ABR,0.000106716819267,9.72103848915749e-05,0.0003106473835424,0.0039617726765173,1.98223138816999e-05,2.54737012927045e-05,4.9015974288029e-08,7.98795432151508e-06
SRPK2,0.0001067265640542,3.53130467910883e-05,0.187364375002098,0.0002718899863641,7.42731295299112e-07,1.82679477253214e-07,2.2534056720234e-08,6.65171877607371e-06
C1orf220,0.0001067276132247,0.301155299104993,0.519086993296712,0.459206827900895,0.0348077951876875,0.0263183139121348,0.0366237002544522,0.000300769530262
GVQW3,0.0001069966264679,0.0104513445625478,0.275733126392173,0.0159052051805459,0.0006657225712391,0.131035360525408,0.235537622021722,0.0280887486207301
LINC02033,0.0001085471542934,,,0.0078271703563192,6.54654451944318e-05,0.0001053250308991,,
USP33,0.0001090468589976,0.107393699354624,0.0177156603467619,0.101260731782744,3.65736611563424e-05,0.0316235778213685,0.0096107944849001,0.001419057689883
TRMT11,0.0001108237597586,0.0002243004871434,0.0017211336766814,0.0145029312991065,0.559172799582121,0.0079058857203656,0.0328091543317401,0.0555877887168607
UBIAD1,0.0001112855403369,0.0440872281679501,0.0166568438262127,0.0039493178042302,2.36177708852797e-06,0.009169247812661,0.000308298827768,0.0002929338715248
IRAK4,0.00011293827635,6.71182619045267e-05,0.0010734596741785,4.81977966259584e-06,0.0001609193910405,1.60336264780303e-05,1.23174789048093e-05,0.0017679627275894
WDR44,0.0001147301872316,0.388348600674186,0.684373689382079,0.503466601931074,6.01741070319267e-08,0.004288441908468,0.005803927880968,0.0412503245998097
PLCXD2,0.0001147974538076,0.0449681425103756,0.314234578583989,0.000603364441801,0.286534605897576,0.0057454774834032,0.201956829496406,0.140352881454893
MEAF6,0.0001151284430292,0.0657759452090525,0.037858518749165,0.0003367843358217,0.0008158532871288,0.0079058857203656,0.0407335784768046,0.0027401681435983
VRK2,0.000117502325444,0.0148238829778254,5.28361978669697e-06,0.0010164396375002,0.064252311865939,0.0037967786633076,3.00000662353102e-05,0.0023194813049725
ASB13,0.0001178719313692,0.876982164773602,0.0196466553519756,0.512849690278216,0.0034593411812464,0.0864267946337664,0.0018672207555751,0.0041437125269127
SLCO4C1,0.0001182322813058,0.35168990642487,0.438376756889537,5.45162652689009e-06,0.000153651851451,0.0055425431979006,3.45154653827091e-05,0.360632077764453
LOC112267858,0.000118596337025,5.81717595803647e-07,0.442387225811198,0.639842256620157,0.714628117470784,0.575107682502971,5.8549837735033e-07,2.91443017164797e-08
AGAP2,0.0001199731031609,0.0001626957638849,2.86241514853219e-07,2.0920035782882e-07,0.0002868578911108,2.05869600141496e-05,1.07919349341516e-07,0.0002411113463264
CDK13,0.0001205877931665,7.85388347663346e-05,0.115589425861249,0.0024839029444983,0.0021824219637682,2.18220191210216e-05,0.005280558594508,0.0227630737660485
PALD1,0.000121376072365,0.595430024925549,4.18082202183726e-05,3.15688212946013e-06,4.34254056177589e-05,0.000206392579469,2.02391853861282e-05,0.0001957765413867
FADS1,0.0001214168575615,0.0005214710971862,0.0202213363930275,0.0527606615578615,8.48542682145167e-05,0.0082350243348595,0.0003729607198595,0.0013718480247601
AKTIP,0.0001243895002351,0.0914345611869612,0.0492768189578966,0.0002643572952542,4.46302277762034e-05,0.0026887660505395,0.0006187400160214,0.0054732364054561
AXIN1,0.0001252702180461,0.0003090466272124,0.0012715384774362,4.12231942058359e-05,0.0051193661050461,0.0005955922465953,0.0021084495258986,0.000242160088011
NSD3,0.0001262948257263,1.00558889588305e-06,0.0055970501360631,6.4579502539876e-05,0.0009928187617339,3.84506869118385e-06,0.0069971966942693,0.0267397532587573
C9orf85,0.0001278576061403,0.556807635944317,0.0414500384572639,0.410262184555429,0.719860697207446,0.0513586372010153,0.681015420959225,0.0815947475680909
MPRIP,0.0001282706703934,0.0109560487271225,0.0001889486697485,0.0006786939020047,2.39905393925449e-05,0.0045221548894334,0.0010236698788793,0.0010513941991495
PEA15,0.0001294010742422,0.0129367660399573,0.0383450806821116,0.0010650881325952,1.33115334392803e-08,0.0018878919988798,0.0008565630764289,0.0006976687554102
LOC124908062,0.0001317519701309,0.0007059397293378,0.0004567102844086,0.0058725196967246,0.0013314112465346,0.00011206899895,0.0007796513488425,0.0984409848177632
MS4A7,0.0001319987914324,0.0488002928097131,0.0049415350271348,1.5186098197871201e-09,3.22547447352789e-08,0.0001242874175938,0.0004403250096354,0.001526491072759
CACNB2,0.0001335925600235,0.0046192120148736,0.883345477369106,0.749566507126261,0.0694347028871311,0.850517029687241,0.697806949636509,0.0069653905014359
LOC124904045,0.0001351545691919,0.0003575083603571,0.0170248051132109,0.0004582596106056,9.95141747831215e-05,1.52871000858498e-06,0.0112378392208348,0.003972553470961
LOC105375065,0.0001352690492894,0.0011298742819724,0.503553993482932,0.200906531085178,0.0013681644533361,0.0093649607762787,0.0174622964976153,0.0044285677632579
EVI2A,0.0001355427472672,0.0009293619866221,0.0018163855879747,7.74436633851912e-06,4.27927849396616e-13,6.847648826426051e-09,2.00383840685538e-07,1.0301786828377e-05
LRRC8A,0.0001359204058786,0.0001571084063597,7.35531370393717e-06,6.42036916197648e-05,0.0154762084204154,0.0100950543859725,0.0003012585004941,0.0003312101964616
LOC107984043,0.0001362520732246,0.0058279226072963,0.001252977319847,0.0128631762221216,0.46294138074838,0.193230248079743,0.0003573224063572,0.444625193476787
PKN2-AS1,0.0001366091680184,0.0064105442433998,0.0100303810038416,0.0007016383599509,0.0243904457120234,6.27317431448022e-05,0.0013893624308554,0.0004894330688281
CLLU1,0.0001379234825217,0.959486796304387,0.0020550609024704,0.0004576386054396,0.0145614030198413,0.0002799972105607,0.0002124444956105,0.168497546430832
LOC124904643,0.0001383151374981,0.0014586639149105,0.0007990876579048,6.16894308942624e-07,0.003856749385646,2.89450233583039e-05,3.79981156028442e-05,0.0016773886455021
ZNF277,0.0001384002292691,0.104247925588109,0.0085669403585344,0.0032886862647589,0.0008382819557779,0.0007083690172356,0.0072273544279969,0.0146472495258252
IDS,0.0001451925381141,0.549197376352422,0.361956585998961,0.199045490107046,0.380486393764683,0.0851359383141393,0.0793243274583226,0.0262230139336409
SMAP1,0.0001468466567526,0.271581239017944,7.92730560047127e-05,1.79594180325581e-06,0.0020114602196412,4.64340541427632e-07,3.38204758955837e-06,0.000242160088011
CALU,0.0001469134365292,5.53806745082305e-06,0.0491552242529989,2.89154978505471e-05,2.69910262580041e-08,0.0003182426251542,4.01304756104617e-06,0.0168531183939799
LOC124903315,0.0001482145005005,,0.251241277840621,0.0213366607603141,0.0004673682567703,4.98576358987187e-05,2.55435059127768e-05,0.0006543443522767
SNX30,0.0001482145005005,0.0033201052193284,0.0699375172359498,0.133926730482289,2.68722034846681e-07,0.0096564729483811,2.33473635434699e-06,0.0009751555719616
ITGA3,0.0001482428630068,2.27308919518827e-06,9.99537114648012e-08,0.0001665194687699,4.59298962440047e-05,3.53205319825316e-08,4.3380218213855e-06,0.0058605329037946
SBNO1,0.000148962862404,0.0161975617499105,0.0195957363296074,9.25071366633716e-07,1.91923514181134e-07,0.0003348561667269,1.01022127443964e-05,0.001127945044967
MAGT1,0.0001493812296102,0.452207673093746,0.0049210543289744,0.0797570229224874,0.147725594773022,0.0564487575896726,0.0659104438433905,0.0072028269691657
MTTP,0.0001498512426262,0.334078058600037,0.251922134371558,0.0865936389371043,4.12373647790978e-05,0.0048055663314342,0.028362134818107,0.0019962780816877
CCDC125,0.0001507320311752,0.0057121056985416,0.0014883062174186,0.120925039820529,0.226461227617656,0.0625354698123013,0.0043655396283487,0.0227630737660485
CPTP,0.0001534921153834,0.0054404655672082,0.003788879188392,0.0004724687724394,0.0151589078497272,0.0002791355827033,0.0010468790876167,0.0076592111412652
PHRF1,0.0001543980069145,9.35344192881919e-06,1.97727299370716e-09,6.58424552979192e-10,2.08023405940521e-05,1.17729654269494e-05,3.24875212535912e-05,3.44147481213122e-05
NSMCE2,0.0001570415047075,0.937581075537862,0.126104076991317,0.0088627577537798,0.249912477277359,0.108771825679662,0.402628433595066,0.052741368939846
UBE2D3,0.0001577013359364,0.007479348991814,0.0018595089498216,0.0025764251809983,0.0014419897419514,0.002982934796213,1.55821959885253e-06,0.0001937363326996
IL10RB,0.0001578988206842,1.15292078394994e-05,0.0209690494464934,4.64965663237586e-05,2.78297479451286e-12,1.99032187356847e-12,8.92361228144359e-08,0.001001344655411
KBTBD6,0.0001604254089819,1.2273569896826e-07,0.0708742764637345,1.21758668289468e-05,1.69768590094045e-06,3.37284534565031e-06,7.79075510229415e-05,9.87538389602173e-05
NADK,0.0001607637792412,0.579910237292536,0.944729763128381,0.852154413900453,1.60150038466717e-08,0.137810301615192,0.0042382465140012,0.0815947475680909
LYN,0.0001608860697112,0.0001702111679428,0.0006563810074304,8.56774684756064e-08,0.0129410977043054,0.0050511541008225,0.0147743260433177,0.0726898157179279
CSRP1-AS1,0.0001609510390341,1.61638790260261e-06,0.0001508613575399,8.510660525657469e-11,6.18120009525917e-08,2.42964245423249e-06,0.0002424586047722,0.0005514925449782
CLMN,0.0001615263313859,0.0297212889171497,0.001338712091149,0.0013609568376048,1.34879273355137e-05,0.0189421995657302,0.0003789624717501,0.0001837746176728
EED,0.0001618972146503,0.21388967393692,0.210116167685413,0.143212540160199,0.0151290903749959,0.0006957551179601,0.0153134320666574,0.0188870059664507
IER5,0.0001619709787036,0.0129237374473211,7.22896960351804e-05,3.35768349325673e-12,0.0005060070591118,3.52808014048015e-08,7.97558964096361e-05,0.0017492920226654
CARD16,0.0001623220668197,0.262745326933108,0.0066344679016749,0.0001227941024307,7.64027541739307e-07,1.44035743000859e-06,3.59947147940283e-07,0.154570667796421
MTERF4,0.0001630627496889,2.69768456717631e-06,0.0002974164929583,6.74184185542415e-10,0.0005422597000035,1.2024589447063e-05,0.0012933360458162,0.0014246286723628
CPNE6,0.0001640570374107,0.15543946093872,0.0469046192895748,1.35043009437979e-06,7.55384607190761e-07,1.1522546367259e-07,0.0004748187192296,0.0093473894555494
RNF31,0.0001640582041373,0.0070064983759487,0.0071523305880277,0.0004565260740336,3.55208168532129e-09,0.00084552176143,0.0015052051996263,0.0063261268432401
TMPRSS3,0.0001649600724025,0.554302545498161,0.0098258917512918,5.16329826322922e-08,2.20245462741331e-05,9.03314337835211e-06,0.0015953957831692,0.0052397174464852
RASSF5,0.0001652011613133,0.0002243004871434,0.0001964814660857,3.89702749381836e-08,7.90929275186665e-10,8.1185046868421e-05,8.07282439705002e-06,0.0009013894864405
DERL3,0.0001663318987013,0.0002677002702825,0.0209690494464934,0.246238775780769,0.0057762121844983,0.231423236215049,0.349413639965863,0.0146560286057529
CCNL1,0.000166355832768,5.87328849589314e-09,6.5126405552426605e-09,2.21046144413273e-08,6.97956928865729e-05,1.37791932323054e-07,2.81171638766366e-06,0.0077373778496954
LOC107986976,0.0001692753160701,0.153551993376898,0.0100303810038416,4.06422976849011e-05,0.0017363712639123,0.0002587502289986,0.0006140143311689,0.0093473894555494
TCFL5,0.0001694935995854,0.0050346451916022,0.0980793680287935,0.0052871434894652,3.03085322262616e-06,0.0001430911002468,0.0373613767105676,0.0106850756027705
ABHD17B,0.0001695668958546,2.11254221728691e-06,0.623474425708564,0.0537715355686651,0.0129045452669996,0.0035198544129205,0.335841859639647,0.0002912325938353
RASGEF1B,0.0001724886546097,0.0285125099001854,0.0084795785480529,0.0001719414541502,0.007073606891396,5.81290471792094e-05,0.0059560377517371,0.0782912202637105
HECTD1,0.0001724886546097,0.0026195203497975,0.163899520655377,0.0630851991872823,0.181040293973272,0.0001921888765457,0.233917715825219,0.047597988739704
MRPS6,0.0001726270599269,0.003132448543109,0.0049191387569764,9.00184169688809e-06,2.41545337437999e-07,1.32138088201742e-06,4.92130878939367e-06,2.25975985080011e-06
PLCXD1,0.0001729986488302,6.423603405311021e-09,3.96774991781253e-06,0.630614980924141,4.97496750218349e-05,0.0016460699145263,0.0421470738134398,6.45124874470831e-05
ZNF331,0.0001759055761626,0.0174052153176542,0.238304210289149,0.0003611322643688,0.0667309118800008,1.27449171204571e-05,0.0002836434419157,0.0043152194758099
KCNK1,0.0001759055761626,6.45811248916683e-05,0.617461761591089,0.0457264067612893,0.002796219765638,0.0105206049824549,0.0047770967794501,0.273662015284593
KATNAL1,0.0001760163183273,5.27949171015991e-06,0.0020770385363071,1.17169717623292e-06,6.92725917734431e-08,0.0221959606533642,0.000192052005913,0.0024935265705963
SIK3,0.0001761277353023,2.6748470790574e-10,0.401393055390519,0.634978136614946,9.55968151580302e-08,1.0761537453608599e-11,0.197845675154335,0.690117397332473
ZNF512B,0.0001781049200033,5.30099596194318e-06,3.0211018341799e-07,6.52431900190541e-07,2.61092062512017e-07,5.4090503297203605e-09,0.0002567348244617,2.50619818900288e-06
NUDCD3,0.0001785638369812,3.18741503072999e-05,0.0282490543821446,0.197826399930465,0.0004788280967087,0.0095349724896063,0.0362139671247951,0.0012110815238563
ARHGAP35,0.0001785638369812,0.0026442998644903,0.0244840724999962,0.0116890285317714,7.10851330984211e-05,0.0044159102525391,0.0001899496257667,0.0028271718590226
DMXL1-DT,0.0001800105345537,0.970141781649938,0.0008786627358978,0.0001367740235251,0.943881832967814,0.947303274268414,0.0075953650065248,0.0004465499478646
STX18,0.0001842830308228,0.0274463496711811,0.0005725567337169,0.0002600727222646,2.12985216538878e-06,6.74597889699403e-06,0.011754966598309,0.0963391703752787
P2RY12,0.0001851649655394,0.181693000548917,1.35371302294557e-08,3.64202426436186e-08,3.85335199646049e-06,0.0001556027208002,0.0010194834107286,0.130724276910922
RALB,0.0001859614305259,0.0981733589701345,0.0004151809223314,0.0131411882371113,0.0001208146413249,0.0003106910834246,0.0001831500119579,0.01993617250769
APBB1IP,0.0001870423877222,0.0005141795095036,0.0062675725683017,1.19652630478569e-06,0.0028138473902613,0.0006394757407781,1.56758780160373e-06,0.0007490565622167
SNX29P1,0.0001875733867879,0.0037175829185312,0.0935670165373038,0.676800385968555,0.0001052333714155,0.0017061181031469,0.0866447538205694,0.0076529872986006
DENND10,0.0001875733867879,3.57377515330702e-05,0.21844788077011,5.52273183084384e-08,2.45601176234958e-07,3.72106892793381e-06,0.0289632395595832,0.0006366155973109
SS18L2,0.0001885619833705,0.0178642186261371,0.108050543754705,7.52182994839394e-05,2.93943183183883e-06,0.0067600811566251,0.0563893882014597,0.0204222490992934
ZNF786,0.0001900885957632,0.0001620361533939,2.60528159828238e-06,1.24160168859477e-07,0.0042788680416382,1.89483856432265e-06,5.09588876448217e-05,0.0002024519754989
ADPRH,0.0001906193246164,0.136084316379959,0.805988732126689,0.0088424653879387,4.28599848843781e-08,2.30143187188626e-05,0.0012086748146393,0.0024145894640199
HK1,0.0001922484018463,0.0001945085007696,0.0018377618028286,0.0015262562159928,2.62574885251079e-09,9.56724418974876e-06,0.0043153942478311,0.0109959511213099
GRK4,0.0001951665682151,5.30176177408229e-05,0.0030243168578863,2.8189121389492e-06,0.0059500003310116,0.0003130833481468,0.0560428484199759,0.0012867705382025
NLN,0.0001955961578948,0.0001739204266283,0.0627191387290295,0.0389520732972379,0.000342522130736,0.009477177203841,0.0013281557000425,0.0007883044517692
ARHGAP15,0.000196288125102,0.261606960249067,0.21024607274908,0.0868721068635507,0.148943540566211,0.0602935819902261,0.172513739300923,0.217161276760581
ARL2BP,0.0001967755462171,9.78537205521003e-09,0.0006022523713304,4.54432784993859e-08,2.4696172748597e-07,6.9915400891698e-05,8.87174526721087e-06,0.0041011827168683
LOC613266,0.0001968774115376,0.111983442077142,0.687934162367939,0.669328192480065,0.002674780424032,0.268440546981068,0.266807271124626,0.0404042726197691
CCSER1,0.0001986525236654,0.018245450416755,0.00081427582055,2.76342565646926e-06,2.47178578956579e-06,1.80064879536811e-05,8.36684130335078e-09,2.62282282702573e-08
TMEM37,0.0001991345166871,0.170390156191278,0.0404523750499244,0.461578336075857,0.0002238013243391,0.0044647456181744,0.0037099470626756,0.0002373290603943
MRPS27,0.0001995651124118,3.31622116336172e-05,0.001348446348372,3.39276766803885e-05,0.0067778343594324,3.27523787392963e-08,2.01252334615708e-06,1.94538064787099e-05
