,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
PARP12,2.41583187326405e-23,6.75158270385831e-17,9.698146018731421e-35,1.62032614805699e-28,1.7852014457640397e-30,6.737413377337269e-28,4.91973046895675e-27,7.91502914241856e-19
ARHGEF3,8.87621714786199e-10,4.93912156646662e-08,7.52985813677057e-06,8.25009960098526e-06,1.56084343081348e-07,6.33025600053159e-13,6.67551746093949e-10,4.333312606001281e-09
TNFSF13B,9.69210919891412e-23,3.6356322870109295e-18,5.0072183952701597e-26,1.1025953629679099e-33,4.12715829197643e-21,5.96416744966994e-20,5.99788836444046e-22,4.7011080722873e-18
DDX60,6.76053838887083e-10,2.26070971057814e-08,3.1945140606784697e-12,9.72250418668547e-12,4.7534507716471e-07,3.7331304871757794e-11,1.34470637378946e-10,6.77761476001681e-08
MASTL,3.1430271803720503e-88,1.2016149147401199e-49,1.95018125169443e-44,1.2340844873338e-54,1.07522924622373e-75,5.828365880402621e-91,1.34265974240781e-83,6.46288526420349e-51
MX1,1.15062650149463e-33,1.46855700463445e-28,4.54059601306444e-33,9.74847856839096e-30,5.04650509081254e-32,4.35197429131741e-34,2.7283374969461097e-30,1.9940986777542398e-27
FBXO6,3.1916434562643697e-22,2.0282094258375102e-09,2.05212678837378e-18,3.07801954740195e-17,1.64382196506759e-27,3.6614343257903795e-18,1.83636751575534e-20,3.27881225924142e-14
NRIR,7.46900090108012e-12,1.20588118522656e-15,3.84706393696893e-10,4.52151930539688e-07,2.04821511753265e-08,6.2703386367882e-16,5.22257698047589e-12,8.63994411613657e-13
PARP14,2.72049062886377e-43,3.94583324985774e-23,2.41617761998309e-33,1.5482132409256302e-35,2.32209530114746e-43,1.92563357968703e-47,8.51441935039997e-36,2.6185291597103697e-34
XRN1,9.87644025504527e-15,7.24847142939628e-08,4.9170366570421804e-17,3.3262856558212e-18,1.4234709955915402e-14,3.91166550877266e-17,7.71161719933513e-16,4.28879379081733e-10
