,ChenChao_PRO,Dave_PRO,Eric_PRO,Ethan_PRO,Khaondo_PRO,Niyilolawa_PRO,Pedro_PRO,Srivathani_PRO
ZNF318,0.00065957162637,0.0323604461736916,0.305466031195607,0.0209985755723559,7.09685518712143e-07,0.0029988339627338,0.022980346656695,0.0850624092463639
KCNA1,0.0002099202996039,0.0644531493149401,0.336657076334952,0.0540919792662588,0.0002511294344452,0.0150531896874733,0.0023596389764794,0.185664212457367
ST3GAL1,0.793927529395866,0.386762561637247,0.901813266588544,0.643152294812241,0.857380704812932,0.66643345798952,0.720613879911402,0.855816584333414
SOGA1,0.16099421282692,0.219305069461827,0.559993705430356,0.171601016723213,0.547334057708236,0.0185978355147647,0.439734100272022,0.42091548387805
CARD8,0.0026385408091353,6.44055958907473e-06,6.76941180352494e-06,1.12422750958795e-05,0.0012127058280852,1.15880565432864e-05,0.0082208621644169,0.0158877578109632
DYRK2,2.37672074202615e-05,8.24875639299085e-05,0.043648800882907,0.007444778417177,0.0001317829937393,0.0001748289947583,0.0299889773665721,0.123052538344784
MICA,0.0005637096904697,0.0024139831425143,0.0009102570004895,0.0002895523236765,3.20350733814793e-07,2.06613709026872e-06,0.0112434245679747,0.0011657639998585
PRICKLE1,0.0108342425250808,0.0005958209267877,0.0058950848243571,8.91876216333857e-05,0.0143444500538662,0.0028890666309871,0.0976550021124087,0.0138229622568569
TBX21,3.06958419696198e-07,0.0036536875601088,0.0005330284553385,0.0019449351434606,6.38900375655922e-08,0.0001720427553824,4.65869079967992e-06,0.0087620210547328
SIK2,0.01372013038085,0.573871924671297,0.15320191682497,0.0647103683986052,0.0010731408844775,0.021038523397654,0.263098307124607,0.33984691165022
LINC01138,0.0318728432157681,0.0019722527960634,0.0066454774348837,7.43630993834403e-05,2.21534219443714e-07,0.0013570790350013,0.137166217969832,0.0114493603133552
PLAT,0.0007182939234873,0.0026706771015822,0.248146103694272,2.65163919093385e-06,8.31020922963999e-07,3.33144944825635e-08,1.23800147835373e-06,0.0080907078487303
CRTC3,1.16210725539336e-08,6.91227826183365e-05,0.363708668137533,0.119392923745728,2.89281047286772e-06,4.95711166534697e-05,0.0438071272026793,0.0001304340026515
TMEM62,3.93117394921223e-13,3.3581032463594404e-09,2.9024437019066797e-11,3.87892128315481e-15,5.241270199022e-13,1.3558020316062501e-17,1.2313139572695602e-09,8.46959241364654e-08
LOC105372300,0.0920973631866523,0.156532526368117,0.0568770194873812,0.101138006534047,0.211918533506612,0.46221659481261,0.230983020937873,0.708038097999107
GPD2,0.0697095626323327,0.0031246552619533,0.247146636729144,0.168531146346224,0.491934088876405,0.240386852842878,0.0394906869872653,0.424836619171592
GSN,1.16282760156203e-05,2.56782474690215e-07,9.29327242312478e-05,0.0016870082236739,6.75016379347375e-10,8.98895520335094e-06,4.04989226283958e-10,0.0023107803597895
GBP7,0.0097316631148652,0.249653038750783,0.371261063805916,0.147648304751291,0.0931272764699098,0.143055459032124,0.486414418622445,0.47930272531646
MAST3,0.0008424640335182,0.0010453463051524,0.02758341641461,0.0004740163538518,0.0131854684904351,0.0036009782425702,0.016697751266707,0.0834019481513618
LY6E,1.32755617745785e-14,4.36057345445173e-06,1.76517072233372e-13,2.017295128101e-16,1.01846168613349e-14,9.32347610126061e-14,2.00298086281775e-13,2.19043022806065e-12
ZBTB20,0.531864794014825,0.287416854369648,0.923573305432086,0.820600947992079,0.676117635400703,0.526556850589262,0.822568281452128,0.844902511113204
TRIM38,4.37561116443534e-19,1.78529224734001e-14,1.89904429947213e-10,1.63108522623228e-13,2.68229581983043e-15,2.0356238895765503e-20,1.4013452421733899e-11,7.19603740498728e-12
EVL,4.28495327814905e-11,2.81676053186704e-05,0.000135542691005,5.0155959294231e-08,3.72826270352355e-13,1.1973050343947599e-11,1.29770510708919e-06,8.57581714591159e-08
NCEH1,0.0153908642208333,0.0003404889085462,0.0012288051073054,0.0001555149782925,0.0140248939953495,0.0144987145435042,0.000308334687022,0.0016799642840915
DNAJA1,3.39890560058383e-24,1.46440027247023e-19,5.20294927451631e-13,1.9195791063584402e-17,5.51121849844219e-26,5.09936235313531e-27,2.83766163242975e-14,1.01217571299582e-17
SIGLEC14,5.0846741167465e-08,0.0361653449773148,0.0011952685934006,3.5585477614837e-05,3.34905861411324e-08,8.79562843008021e-06,3.07293520230108e-05,1.3225528022014802e-09
NEUROG2,0.967178746353582,0.914942066257095,0.953344979781732,0.809220110129498,0.878207539922951,0.86886974457344,0.895411728301301,0.587461511239223
DIP2B,0.397671835107557,0.668732446004412,0.902410967175038,0.648351453553167,0.334662436168358,0.415249550621692,0.413898084702342,0.719029345959674
ZNF620,8.6269557736184e-09,2.17584139518038e-07,1.89234988456728e-08,2.1280681036841e-10,1.04419765882578e-10,1.43603181641442e-09,2.40619684003402e-08,1.89023915266195e-06
INTS12,0.0329650597243249,0.0179799156162029,0.0935779694544196,0.0033694995973301,0.469260167712887,0.0066922072809269,0.160752178382608,0.185664212457367
FAM13A,0.0491836720178462,0.106245776289616,0.302001210297283,0.024147053501734,0.0688518357742956,0.0269768440230448,0.3970282282135,0.556270068255516
CCR1,0.512255218411431,0.82421201131462,0.412934506662857,0.658138231814108,0.409538370494725,0.13648584093963,0.115990519814391,0.752307147666016
SAT1,1.9749808295580097e-12,1.18519752603976e-09,0.0085366698082915,4.13172415143744e-05,3.83497289345587e-12,3.5258239887546204e-09,1.42022705641277e-14,1.1726270950260701e-09
LOC107986776,2.33344525158407e-28,4.17193662678442e-23,2.05212678837378e-18,1.13826406787163e-27,2.25514682867847e-19,1.1493580021338699e-30,2.4296312190925398e-29,4.93175870937851e-24
WDR64,6.11615120879094e-13,1.78067256707323e-08,1.8146232508630398e-12,2.2909713444343e-11,1.0974388250083699e-12,3.78718633643063e-14,3.7508427533334e-19,4.772621804470211e-09
MTMR12,0.0001084363655884,0.0050957452521778,0.0156309591490114,0.0027270821925311,0.0063402153224894,1.52413194576883e-05,0.023130756743117,8.3567724655746e-06
FRRS1,2.86231577195366e-12,1.22632623360006e-13,0.0001041911967215,1.39875687543918e-10,3.0792477538005604e-15,8.13007434867121e-17,4.971830703480339e-13,2.8684751058249704e-09
KIF9-AS1,7.31904728153525e-11,7.09919979137627e-09,4.91678451217276e-10,1.19626966334193e-08,4.09727297887276e-08,5.08860386351055e-10,2.9793426064478397e-12,1.98503693726755e-07
PRKD2,0.0410955494592339,0.790409666649902,0.0234353641427158,0.0991939117952809,3.78048760972586e-06,0.0222794916072125,0.0752600018998728,0.0866363557734234
LOC124900317,2.5583350429788e-05,0.0096226747582858,9.67373551683009e-06,1.48665420302563e-07,0.0001565348864677,2.65807116239581e-05,8.86503105718072e-06,0.0059486686377864
LOC105374746,9.057832197528141e-17,3.2970236954461298e-18,1.2981934646083399e-11,1.263425963921e-15,2.5205668179390904e-31,9.74075966694979e-23,9.59222197715376e-21,9.456543436253839e-11
LOC105371932,1.45166842442174e-23,8.856666622485891e-14,5.15021698353118e-20,1.0042686444941301e-19,8.07856948338592e-30,2.46080993375412e-21,6.47475536206358e-30,1.0448199337943001e-16
TLE3,9.700819917342282e-15,9.35787858052561e-14,5.51353940370848e-07,7.05780856812322e-13,1.95132220016401e-16,4.906682274214941e-19,2.36220878132324e-10,3.08890409741845e-06
HTR4,0.724412861309374,0.866940973549906,,,0.997636058039455,,0.94460892390418,
TSC22D1,8.23671345841354e-09,1.42332769703791e-06,0.0080057160846996,9.80160450856871e-05,0.0076606504597862,8.85202990428724e-07,1.95011632258601e-06,0.0073226433649219
RPS6KC1,0.103223396171681,0.0024704256818834,0.0734429218392072,0.0605653948503979,0.0926491036503535,0.113416475362832,0.183180771120669,0.349473569639659
CHRNB1,0.0073269079613596,0.259502264136383,0.0097655806195452,0.0034887679244969,0.0004995088073058,0.0297149876937901,0.0006592438268354,0.0549225617576376
CD68,0.713974048477743,0.76254357347653,0.983906503538211,0.928667072015595,0.982153021294885,0.864104438748438,0.749998971456865,0.995034370250278
LGALS9B,0.078672340362394,0.0314345009848511,0.431638255691635,0.0347096304129561,0.0346162321059382,0.0134319516925803,0.0243692903399647,9.48577815866283e-05
STAU1,1.59105576760005e-26,1.07650705697538e-20,7.339079199765281e-09,2.7763224864962803e-15,8.90351918559769e-27,1.2770169399678e-25,8.43743729643596e-18,1.29575518356562e-14
CBFA2T3,1.28122540999715e-07,2.89620999704707e-08,0.0001728476754422,9.51130541306832e-07,0.0604933876142831,3.4278907326860502e-09,1.71230249184462e-06,0.0029200221886558
PPP1R9B,0.0025222183264238,3.2147570133452e-06,0.0334037734750004,5.10278840268565e-07,1.68954529432978e-05,0.0001538085069363,0.0017701583705212,0.264856191408196
LINC01358,2.4235464230023802e-14,3.48760293262394e-06,8.363730995083619e-11,2.43972572919687e-09,4.08603503912896e-10,5.08748387740341e-10,1.32905478302985e-12,6.31645131225827e-08
VSIR,0.0008746803803772,0.0111636160052469,0.820188989930963,0.0603446282096092,0.154839024712346,0.0030118091395662,0.059587866879754,0.0229168294974918
CASP1,1.3284714717835902e-09,2.92962275878882e-05,0.0006589982326677,5.53146073054807e-08,1.58463610772374e-08,8.83338863570097e-08,6.73331068458503e-05,0.0044988214470727
IFIT1B,0.277702567818871,,,,,,,
QSOX2,7.50902683932382e-08,8.37083295362345e-07,0.0020434130380624,1.20102762661069e-05,8.32362344795242e-07,1.87856167840777e-07,0.0001445634315488,0.0875966839952809
SNHG26,3.945049514686521e-09,5.01522482644423e-07,5.58671769070408e-05,1.85949724713218e-05,6.35715177661991e-07,8.90700449564236e-08,7.7112948413706e-06,1.04045736949977e-05
RABGAP1L,0.068135373760299,0.0388957934400989,0.322089973626089,0.0991957286495957,0.276734278175754,0.150157506354957,0.274937368100304,0.45056048454718
CLIP1,1.58106966728645e-12,3.17862730917409e-08,0.0012752414219378,0.0005558126373659,2.38291248275664e-06,6.29203638382826e-12,1.35060715310426e-07,0.0005694704122652
IL10,1.10050369932226e-06,0.0008204107629606,7.90713668985715e-05,1.88193221910387e-05,1.53544427624571e-08,5.97559500175052e-07,4.65877239241636e-08,0.0019397780576577
LLGL2,1.56039029754833e-05,0.0104159169283702,0.595165095279294,0.494255777093407,3.10500560787411e-06,0.315236570629656,0.61378715692164,0.274218999306111
IL27RA,0.0007100420863139,3.14229487838333e-07,0.124591423907559,9.26726840794413e-05,4.18076822067789e-07,2.0583633853717403e-09,0.0016821872657612,0.0343344788297254
TMEM38A,0.142116402869566,0.0467863026619657,0.321617801231659,0.0461089753287153,0.149871267909299,0.119362590700573,0.261727261448031,0.335018949561176
L3MBTL3,0.0568696041589213,0.0615752512066223,0.0842725507253317,0.0064702786828596,0.258611789248881,0.0587752154376252,0.0622639489378861,0.312358152083109
NECAP1,0.242606993481766,0.134234539502071,0.533703892406659,0.0124555126779849,0.125518654638442,0.268746820700518,0.414887211528981,0.570629946758037
RIPK1,3.79100332535153e-16,4.05342973262655e-06,8.93230643805942e-06,1.04530511808973e-08,9.81809667441078e-18,2.4176997573731902e-17,4.008725699693711e-09,4.20555449735028e-10
TYMP,0.176164157357829,0.954436963567154,0.0363430166089243,0.0016609169715295,0.0004124088306386,0.249585803008881,0.0039833298678129,0.0807112541851535
USP15,0.0019399036106191,0.0022077158237941,0.0415976932107749,0.0246751004143717,0.0232590700085577,0.001350465588447,0.0122532786520271,0.0876557639314224
LOC105375913,0.515364140669149,0.6592470834672,0.903765265129287,0.0627395223937198,0.214396308800812,0.583172395020362,0.829153028083103,0.371411554898564
MFN1,0.0003134132358472,0.0022760739026991,0.0021862250420009,8.3754405978342e-06,0.0033426545029093,5.12265415810644e-05,0.0027811986210183,0.0036465995754738
LOC105377327,0.0106290486392363,0.0364264483685169,0.932943841571146,0.999990157340462,0.0061040155375535,0.0405858714493619,0.0017436287317545,0.0331388851420342
IRF1,4.1945864474009494e-12,8.70245419394926e-05,4.25420468196834e-15,2.76557822371665e-13,2.65111093212926e-22,2.0410938943473498e-12,1.4177851734359402e-17,3.55624702844462e-11
LOC105378075,4.3945994887192e-07,4.78173063555221e-06,0.0010994732051256,1.74363415119355e-07,6.06083885673497e-09,8.28232209436804e-05,0.0005281786947232,2.55673279339443e-07
NXPE3,0.0011475422732145,0.0005270014206358,0.955146667864867,0.769136810107947,0.435472765278256,0.0404891061268238,0.584251509956798,0.326634926376124
CAPN2,9.56891249705599e-06,0.212120669471962,0.112568919994066,0.384858289135545,0.000156884982936,0.0003259754620628,0.0002317854474993,0.0198302340202075
TANK,0.0001322391277569,0.0343035911189064,0.116293691182293,0.0027369391672018,0.0029240343474342,0.0005986053790618,0.0011211255589571,0.0105433150992529
STX16,3.71113630576187e-07,6.68720000088953e-07,0.0001080099310531,5.71807117855121e-05,7.25316853310389e-10,6.9004846687043e-05,0.0001481495964983,0.0003192544557362
RBM7,2.45223263782429e-10,3.37133935059618e-08,2.09560321718323e-05,4.98199905359938e-07,4.90864762485316e-08,1.2357165406253799e-12,2.12246759253611e-06,7.7567162790891e-06
CTDSP2,1.0749831872954e-11,1.76577863773367e-10,0.0017042404169716,3.37096777013338e-08,5.21509575035211e-07,1.0049274547242799e-12,0.000242664969869,0.000568430912809
SPN,2.65819509777412e-10,7.94630337540723e-05,0.0010001533419882,7.77621576459029e-06,1.7018111811828402e-09,7.844042128959801e-11,5.90138217739477e-08,5.41416662599187e-07
MAB21L3,0.529886318751506,0.319329742266203,0.969874295982548,0.884374346770527,0.0179847902576599,0.555627036011041,0.601708782644754,0.689671337490535
ODF2L,3.01725055842018e-06,2.05033238311011e-08,0.0321414359443857,1.6253284873149e-06,4.01131924189537e-05,9.64572554949593e-07,0.0007162506833254,2.01023548554794e-05
IGF1,3.74936051399858e-07,0.0161037714225702,0.0007231624581981,0.0430596197883496,1.47540626220829e-05,2.10710390409494e-05,0.0052687462900113,0.0001010180406731
CCND3,3.82564998889751e-05,0.159299046020413,0.0089892096725874,0.037890376105828,0.0065895649564968,0.074548414969073,0.0038861998905195,0.0076127138807902
TIPARP,0.195805398703002,0.0019214951222441,0.350509287736262,0.129906293452946,0.0162323367590916,0.000791094533759,2.56409992954067e-05,0.0005548294344318
HEPFAL,0.0081141614182733,0.059662037339974,0.493349215927037,0.0048758426462055,0.0254524932241801,0.043434928689912,0.052524224608146,0.5728015695781
TBK1,0.0009357158057689,0.0269696686658418,0.0944934818034721,0.0411812728665288,0.078918896299195,0.0013094924183772,0.0892808606683516,0.0393795204960037
RICTOR,0.0008899638665369,0.0140667019315116,0.0085684606839561,0.0055928558214334,0.0040779293144486,0.0002734832897013,0.0025867527532001,0.0115288037024167
NAA25,2.32652842162029e-20,0.0004375372473618,2.3730899285436e-05,5.89756090685589e-07,5.6632127106672495e-22,4.92381167215794e-22,1.8685154038355902e-14,2.04785256319837e-10
RERE,1.88413880464971e-06,0.000256477427836,0.0064604961475414,2.03924527255379e-09,1.8322146645715101e-09,2.50282479815513e-09,3.94149527663568e-09,0.0013992981974678
MANEA,0.0014363271556021,0.0262661050427539,0.424762067383069,0.0038548122997112,0.0008279111613373,0.000362779582793,0.0428577734334293,0.0001790375905342
POGZ,1.22137558897666e-09,5.28268498515011e-09,0.0464491764886172,5.56998307517305e-05,4.80464847721021e-07,1.05236327578152e-06,0.0001103935688968,7.96420939602284e-07
RNF19A,0.159151454384241,0.085828228902165,0.112751444633645,0.119110432576331,0.165174791152011,0.0374822934051653,0.0791058727824708,0.265061005270276
TRAM2,0.0305438028227134,0.0098378559678903,0.198568942955216,0.0159406818351381,0.85668430534809,0.0067937898819683,0.184905755727662,0.156756541526482
XIAP,0.0037120556397309,0.0138625798027947,0.531095667512921,0.0998428421890253,0.0006804877817302,0.0005775643814233,0.052915459828099,0.0630539263231143
MEF2D,1.72973192127588e-21,1.45578965306743e-17,1.19316429159011e-06,1.72573755673652e-14,9.97015081561523e-19,1.39215520312056e-21,2.9710539448431903e-15,1.37255160372366e-08
LOC124900605,1.0875296005159099e-11,5.5975340376219697e-11,0.0010150178863315,6.10517574384025e-05,2.55215497239518e-08,3.64403763811263e-10,8.36778141122012e-05,1.42553273853447e-05
LOC105374748,7.20299458172897e-16,4.94012776386976e-09,8.37386556660748e-11,2.48842365491359e-16,3.0346678582786703e-21,2.7701890545814198e-18,1.07146255597267e-20,8.43087235225257e-14
C6orf62,3.45449653017436e-07,8.98835432996153e-05,0.000330000517553,1.33823705413315e-05,0.0001114816328391,1.88220001241149e-07,7.82681909405889e-05,3.27073731450568e-07
LOC124900608,1.44979359115214e-07,8.25603442639829e-08,0.0002416999614743,6.74166794176224e-05,0.0011426835258025,2.42744741680389e-06,9.15450680406303e-05,6.05989179919829e-06
LOC102723458,3.91630689676345e-10,3.60507281858275e-07,5.17158151141471e-16,4.95974917092757e-16,1.47628950069759e-10,3.2491279408727e-13,5.6338013897720404e-15,1.9849480617832898e-11
CAMSAP1,2.3370222103488e-05,3.70462113254129e-05,0.0030104748630966,0.0038627706130982,0.0003660564769284,0.0026373646582716,0.0113434277481931,0.0054639744414793
MOB3A,2.17585215385881e-07,2.80273260778653e-06,0.0020521209462682,4.3720041012458e-08,1.06621264828257e-10,5.9430980023452105e-09,7.60789383558222e-07,0.002705086498654
BRWD3,0.0183052221332125,0.0015050472679864,0.0029268933530553,0.0019811640795171,0.203561101790792,0.0021065166891914,0.001310022000498,0.154598813521776
TBC1D14,0.57202996518457,0.998992206759887,0.980416747357017,0.991321922581178,0.276094102193521,0.672089502039943,0.958983226545441,0.771961249704074
FBXW7,0.407538017264193,0.410421992082221,0.296052285283522,0.0340719147005795,0.437371203636859,0.09266713996145,0.0381794008347812,0.500446330536452
CEACAM1,0.0552545087454549,0.0531889179103507,0.166915824864719,0.0084661276744539,0.101619068570687,0.098741827504224,0.0003161947819629,0.37158281944807
C2orf66,0.0021353721252549,0.0073107711611958,0.0633599490140464,0.0697473766936465,0.234170112025821,0.0426563132379444,6.49980171754804e-05,0.311273311661935
PIK3C2B,0.0251174686645367,0.0021521849547336,0.0013918224055298,0.0024668423846879,0.0981122887170592,0.034428328657174,0.0089521991431622,0.0722875210754831
HDAC4,0.0001382393217781,0.0464550964166291,0.101871960906177,0.0120161167492349,1.99034190058761e-07,0.0002615898903898,8.46936705820105e-05,0.0272753316429984
DUSP7,0.0018860595683796,1.88057942376654e-08,3.13618731276737e-06,0.0007618635714999,0.0713366879020941,0.0001890138177242,0.0477187624717482,0.0314860952541385
TCF4,4.67538041047155e-06,2.3725840744426603e-09,0.0606206597268325,0.0059312246205591,6.33456439988348e-06,0.0001959666486417,0.0157482596223558,0.0003192544557362
APOBEC3F,0.0556433918001363,0.304584958338634,0.0065460681006256,0.0010494734536872,0.000172018835581,0.16985615236323,0.0119739414716548,0.184129534911216
RNF144B,2.17408541979063e-09,2.0065290285939003e-10,0.107211780952958,0.0970713337345944,6.00990579891674e-08,2.91264534089931e-12,1.66077757593482e-06,0.0052321808671234
SPATA13,1.4929475769971e-08,1.10863397008149e-06,1.32684569381671e-07,3.6793930863981102e-09,6.74820892479737e-08,6.23617956494457e-10,3.01303418207188e-06,0.000154822542805
PEX14,9.41077583658532e-14,1.1293828951124001e-10,0.0001922721994448,2.28108544480597e-06,8.761178237829281e-14,5.47143984011499e-13,5.5136802657713896e-11,2.90572624399047e-05
DMXL1,1.07854703166181e-06,3.5562888426038e-06,0.0008110850734691,0.0010036124275978,0.182887609884811,0.0013072423532367,4.43379559998792e-05,0.0158567686123151
RAB3GAP1,0.0004683580015995,0.0037310702763499,0.0379176624886851,0.0066731112265082,0.0010126256718748,0.0001994426090503,0.0045564797606893,0.0076963104171878
RGS14,7.77787746679384e-05,3.00211106396156e-06,0.0007359465514925,3.31258902429927e-06,0.0011767842964678,3.25372685270372e-07,1.13592324542536e-05,0.0086293820694652
UBXN2A,2.4809670797593997e-12,0.0085552086313622,1.71342515083887e-05,1.49771116555408e-07,7.377742881626641e-10,7.28295455388467e-13,3.17806213983458e-07,6.440746953916831e-09
NEURL3,1.63246597605426e-05,0.0633899154783012,0.239206448873678,0.035136584245637,5.51797863135599e-07,0.0011426912657501,1.34082310474442e-05,0.0093581719095699
BST2,1.72179804582479e-12,1.91698021357452e-07,2.0607962942491702e-15,3.79188700016617e-14,4.5752577150766305e-14,6.2260646950612395e-12,2.6835888661934e-11,3.5631286182514902e-09
LOC105370820,0.0082988957090703,0.0100886969292944,0.182207748441661,0.132081667689696,0.0063071948672936,0.145664889760669,0.172742158740406,0.239329445909608
LPAR5,0.625597353898743,0.378371304846804,0.797425702496095,0.382546125055268,0.0558100825252383,0.317217754656158,0.627595507920136,0.714744688100685
MYCBP2,0.0027970320895947,0.0011755595806696,0.114705718591526,0.0150840115279508,0.0023672162634531,0.0002655673273605,0.0058488414877828,0.135134724553852
GRAP,0.595428634200925,0.0888536814580454,0.462040330532234,0.715879126087096,0.882985963610818,0.345078953636698,0.361876490725074,0.530498512970457
BATF2,2.07362268784038e-08,1.77949365218588e-07,0.0032250949867949,3.25356997091675e-06,5.62855989383819e-13,4.39020620216576e-09,1.04788505723187e-05,5.26386107965951e-08
SFT2D2,2.85609456691094e-23,1.0101666165873499e-11,2.22296812409598e-09,4.39327597097909e-16,3.40703306404808e-27,1.34646477464844e-23,4.44908346117174e-16,1.82405388286094e-15
FGR,1.27036111421255e-06,4.14826494990033e-06,0.0029843347251595,3.09871144265964e-06,2.56044420874054e-09,6.02649648045884e-05,2.9640744139056e-05,0.0057967957463948
LINC00869,0.0020985361317824,0.0038551013466194,0.0100938826767154,0.0454894261639793,5.99038719612518e-06,4.31132356732896e-05,0.102250002216497,0.169771861658005
LOC105374764,0.850010166225571,0.804173897976022,0.817319900053482,0.250333824952965,0.930875477651758,0.60132758750698,0.967690732886001,0.874308643037318
RNF44,0.0399417470549717,0.0001416002434249,0.10402263330325,0.005267389524613,0.270517942356563,0.0068360746048635,0.0523698061833985,0.0508386216935234
TNFRSF13C,0.558065913818416,0.240001480318932,0.455833795639051,0.235874726582795,0.258889676396066,0.407299227332384,0.454706766792097,0.728136913701044
CSF1,5.8923306151352704e-21,1.53977891631224e-05,2.31344217208242e-06,2.28108544480597e-06,6.75323821014394e-29,1.22924277695319e-10,1.4085142977592501e-10,2.633189802407e-11
KCNN3,0.254084356459436,0.603624003722135,0.970250533157726,0.68142081885445,0.524544504112884,0.220391087001887,0.403196560070828,0.56803600419936
DENND5A,1.56736331073801e-07,0.038647122639024,0.0547554430603742,0.0125574406883081,1.21713175028826e-08,7.65329196531994e-05,0.0002350111156834,0.0004437804218366
P2RX7,1.65385497309357e-08,0.0090715804036926,0.0008503213524724,6.29209943712172e-06,1.45512753402352e-11,8.38637884462854e-06,6.98953907641542e-06,5.75302568975783e-05
CCDC134,0.137718108527994,0.929592634679514,0.990023337015215,0.0763598085364841,0.308856950653862,0.969932886517715,0.192388325634226,0.960121668932445
GBP1P1,0.0005985978322318,6.03832864132083e-07,0.112568919994066,0.298110861406618,3.4639448355347003e-10,7.47244489437379e-06,0.0002717163279211,1.48641814758561e-05
LOC105379358,0.529684053153678,0.742452558159305,0.975622655236819,0.868162183971579,0.945299599612794,0.901799944275392,0.958276956587549,0.985972031953808
TP73,0.0225622609329287,0.0081032506382633,0.333059971752334,0.202115845271694,0.209151698814467,0.0538146369679055,0.29659092015726,0.26290480940541
MYCL,0.187644244444649,0.680527961065411,0.937407907091836,0.927179494305689,0.795399698467715,0.547877077734123,0.362672825959192,0.998364825943428
SCML4,1.77097471310351e-08,2.08108899954905e-05,0.0037827638631918,0.0012420587057811,1.29221848050244e-07,0.0587633783436725,0.0002559650381544,3.98038071034008e-05
ADAMTSL4-AS1,1.96420213523066e-08,0.0004358917033944,5.531564782416281e-09,5.0155959294231e-08,6.22352404112981e-11,4.64076630859699e-07,2.3774146501430603e-09,8.63310962646307e-09
NAPA,2.79886336036078e-21,2.03888691461989e-08,1.15240254446136e-21,2.8622446530761503e-19,8.641601779120401e-36,6.21386044317731e-17,2.52520017600099e-24,9.75099689732207e-22
MDGA1,0.0206036537287139,0.27279065283958,0.413053208431101,0.818443704978753,0.549462226628766,0.756393580547337,0.480475589053071,0.300388587540198
NEXMIF,0.762007174823934,0.783463760926267,0.817032284166509,0.634378134643895,0.60791755172056,0.810195502320398,0.864845508752453,0.895480126475121
CD164,3.0913709309142604e-17,1.24796187316646e-12,1.44135171715868e-13,1.00024076895683e-13,1.86351643861272e-12,3.96978100136173e-18,4.83069732945692e-14,2.3455858187957e-11
SLC15A2,0.707113624074803,0.655643490447029,0.578681144650781,0.755668310283677,0.511998743976523,0.997415006486547,0.698197217405779,0.902684496822805
TSPOAP1-AS1,0.0014363271556021,0.0180312354926658,0.0623399565976262,0.0530886037328158,8.57444131603154e-05,0.0128146027380777,0.0059787739429792,0.123582026826655
AKAP1,0.0028255170189123,7.82230602232763e-06,0.0599017115656018,0.0315264512893709,0.011806839641228,0.0030531359700259,0.068273164106707,0.135306808065633
NME8,0.0580379876656731,0.738242568874337,0.566130459231022,0.691890222475518,0.137191306551696,0.191628893586528,0.50633599797735,0.835207835020972
C1GALT1,0.0007477848878971,0.0008392795234659,0.0095209562734978,0.0004173083372263,3.12257403982954e-05,0.000443211866518,0.0037487792375314,0.0006405752599293
RORA-AS1,0.250631325197213,0.0105517738340864,0.0580714987133741,0.0026072905354941,0.294441631523168,0.251194852955346,0.125356900894081,0.507114775873184
CERK,6.369962252931021e-09,2.7143629631115097e-12,0.0001142728238008,6.46721316939847e-10,8.59504656131596e-05,1.58979681178292e-05,0.0006610287133865,0.0002270514970561
LOC105369811,7.01754444107581e-08,6.0374437345056e-09,2.06999809888404e-09,1.03111283548796e-05,2.80170260046937e-05,5.028640519771e-10,7.46593847346372e-07,0.0035736624472449
CCR4,0.0030230487517813,0.296447751574619,0.346034889176361,0.0191971417619974,0.0077691686265465,2.20709739107468e-05,0.0066192478104113,0.111745501796328
ANKRD10,7.67307517419384e-07,9.46136258601092e-07,0.0936010636557421,0.0014377219801889,4.12375745865499e-05,3.76141987747697e-09,0.0008356538975461,0.0002495981209895
SEMA4D,0.0036678982012287,0.145995747868232,0.0321692018434182,0.120496688479131,9.86969650105234e-09,0.0015865339006422,0.0060144222468566,0.05079296108779
MXD4,4.71881490834392e-05,3.44136102910411e-07,0.0099315908307573,8.10755112199305e-06,3.93044750259948e-06,0.000899147218706,0.0023238651037794,0.0048255894963046
CRYBG1,0.0084766535815854,0.350611264523305,0.524886959762058,0.0512141267820845,0.001237501579751,0.0018853008835943,0.0127264505131518,0.142209707220787
PTPRU,3.5681162878017e-06,4.73908356676653e-05,0.0305642107454597,0.0003706012126834,7.4062549668621e-06,2.38300839388639e-08,0.0873458465836506,0.0048061790035462
DCLRE1C,2.78597015180338e-06,6.20697113539267e-07,6.00100063642978e-05,1.33364634516922e-05,1.58765222549181e-06,3.19062758615462e-06,4.0406541750471e-08,2.63173154674293e-06
FGD2,6.4856522224977295e-18,1.56649701292127e-06,4.87333364619927e-08,6.46721316939847e-10,5.98257618376472e-22,4.22618736994142e-13,1.24536507222994e-07,3.4449780642548094e-11
KAT2B,0.134399436757012,0.118036708157273,0.962831533522643,0.494309123070533,0.294274919055959,0.519024890601669,0.139607706652708,0.142394577799922
LINC02964,3.15573332275302e-06,3.37061503527434e-07,0.0003470761688262,7.20221450452174e-07,1.15119487868957e-11,2.78209104061713e-07,1.14054242088272e-09,3.83639546809366e-07
WDR25,3.84161580062152e-06,0.0110159613994375,0.000160234621899,0.0001005659839573,1.20848093933829e-07,0.0006260749032964,0.0025951316646953,0.0122430212302331
TAPBP,2.1845228847762802e-20,1.33374960328853e-07,4.98434344824042e-08,2.3641863723807497e-11,3.29270796017325e-32,2.07797484951303e-14,2.3925751006226497e-11,5.19160997079258e-13
